Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hiilimonoksidi (ug/m3),Typpidioksidi (ug/m3),Otsoni (ug/m3),Hengitettävät hiukkaset (ug/m3),Pienhiukkaset (ug/m3),Rikkidioksidi (ug/m3),Haisevat rikkiyhdisteet (ugS/m3)
2010,1,1,00:00,UTC,,0,,13,7,1,
2010,1,1,01:00,UTC,,0,,13,8,1,
2010,1,1,02:00,UTC,,0,,24,7,1,
2010,1,1,03:00,UTC,,0,,17,6,0,
2010,1,1,04:00,UTC,,1,,12,7,1,
2010,1,1,05:00,UTC,,0,,26,6,1,
2010,1,1,06:00,UTC,,1,,28,7,1,
2010,1,1,07:00,UTC,,1,,25,7,2,
2010,1,1,08:00,UTC,,2,,18,8,2,
2010,1,1,09:00,UTC,,1,,16,8,2,
2010,1,1,10:00,UTC,,1,,15,8,2,
2010,1,1,11:00,UTC,,0,,16,8,3,
2010,1,1,12:00,UTC,,0,,12,8,3,
2010,1,1,13:00,UTC,,1,,11,9,2,
2010,1,1,14:00,UTC,,1,,13,9,2,
2010,1,1,15:00,UTC,,1,,12,9,2,
2010,1,1,16:00,UTC,,4,,18,9,2,
2010,1,1,17:00,UTC,,3,,14,8,2,
2010,1,1,18:00,UTC,,1,,16,8,2,
2010,1,1,19:00,UTC,,0,,43,8,1,
2010,1,1,20:00,UTC,,1,,24,8,2,
2010,1,1,21:00,UTC,,1,,14,7,2,
2010,1,1,22:00,UTC,,1,,12,8,2,
2010,1,1,23:00,UTC,,0,,13,7,2,
2010,1,2,00:00,UTC,,0,,12,7,2,
2010,1,2,01:00,UTC,,1,,16,7,3,
2010,1,2,02:00,UTC,,0,,10,8,3,
2010,1,2,03:00,UTC,,0,,13,8,2,
2010,1,2,04:00,UTC,,5,,13,9,2,
2010,1,2,05:00,UTC,,6,,12,8,2,
2010,1,2,06:00,UTC,,5,,10,8,2,
2010,1,2,07:00,UTC,,1,,9,8,2,
2010,1,2,08:00,UTC,,4,,11,8,2,
2010,1,2,09:00,UTC,,10,,9,8,3,
2010,1,2,10:00,UTC,,12,,11,8,3,
2010,1,2,11:00,UTC,,17,,11,8,3,
2010,1,2,12:00,UTC,,11,,8,8,3,
2010,1,2,13:00,UTC,,13,,14,7,2,
2010,1,2,14:00,UTC,,10,,11,7,2,
2010,1,2,15:00,UTC,,34,,12,7,2,
2010,1,2,16:00,UTC,,15,,9,7,2,
2010,1,2,17:00,UTC,,12,,10,6,2,
2010,1,2,18:00,UTC,,26,,10,7,3,
2010,1,2,19:00,UTC,,16,,10,7,2,
2010,1,2,20:00,UTC,,7,,10,6,2,
2010,1,2,21:00,UTC,,8,,10,7,3,
2010,1,2,22:00,UTC,,7,,11,6,3,
2010,1,2,23:00,UTC,,2,,16,7,3,
2010,1,3,00:00,UTC,,2,,10,6,4,
2010,1,3,01:00,UTC,,2,,8,5,4,
2010,1,3,02:00,UTC,,9,,9,6,3,
2010,1,3,03:00,UTC,,2,,9,5,2,
