Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hiilimonoksidi (ug/m3),Typpidioksidi (ug/m3),Otsoni (ug/m3),Hengitettävät hiukkaset (ug/m3),Pienhiukkaset (ug/m3),Rikkidioksidi (ug/m3),Haisevat rikkiyhdisteet (ugS/m3)
2010,1,1,00:00,UTC,,9,,,10,,
2010,1,1,01:00,UTC,,8,,,9,,
2010,1,1,02:00,UTC,,12,,,9,,
2010,1,1,03:00,UTC,,9,,,7,,
2010,1,1,04:00,UTC,,7,,,8,,
2010,1,1,05:00,UTC,,6,,,7,,
2010,1,1,06:00,UTC,,8,,,9,,
2010,1,1,07:00,UTC,,10,,,8,,
2010,1,1,08:00,UTC,,16,,,9,,
2010,1,1,09:00,UTC,,12,,,8,,
2010,1,1,10:00,UTC,,14,,,8,,
2010,1,1,11:00,UTC,,14,,,9,,
2010,1,1,12:00,UTC,,17,,,9,,
2010,1,1,13:00,UTC,,17,,,10,,
2010,1,1,14:00,UTC,,24,,,11,,
2010,1,1,15:00,UTC,,22,,,11,,
2010,1,1,16:00,UTC,,28,,,11,,
2010,1,1,17:00,UTC,,23,,,11,,
2010,1,1,18:00,UTC,,30,,,12,,
2010,1,1,19:00,UTC,,22,,,12,,
2010,1,1,20:00,UTC,,17,,,12,,
2010,1,1,21:00,UTC,,19,,,10,,
2010,1,1,22:00,UTC,,17,,,10,,
2010,1,1,23:00,UTC,,18,,,9,,
2010,1,2,00:00,UTC,,16,,,9,,
2010,1,2,01:00,UTC,,11,,,8,,
2010,1,2,02:00,UTC,,17,,,8,,
2010,1,2,03:00,UTC,,15,,,8,,
2010,1,2,04:00,UTC,,17,,,9,,
2010,1,2,05:00,UTC,,14,,,8,,
2010,1,2,06:00,UTC,,21,,,8,,
2010,1,2,07:00,UTC,,32,,,9,,
2010,1,2,08:00,UTC,,24,,,10,,
2010,1,2,09:00,UTC,,18,,,8,,
2010,1,2,10:00,UTC,,35,,,8,,
2010,1,2,11:00,UTC,,29,,,10,,
2010,1,2,12:00,UTC,,32,,,8,,
2010,1,2,13:00,UTC,,32,,,10,,
2010,1,2,14:00,UTC,,28,,,9,,
2010,1,2,15:00,UTC,,25,,,8,,
2010,1,2,16:00,UTC,,29,,,8,,
2010,1,2,17:00,UTC,,29,,,8,,
2010,1,2,18:00,UTC,,29,,,9,,
2010,1,2,19:00,UTC,,21,,,7,,
2010,1,2,20:00,UTC,,10,,,7,,
2010,1,2,21:00,UTC,,15,,,9,,
2010,1,2,22:00,UTC,,28,,,8,,
2010,1,2,23:00,UTC,,41,,,9,,
2010,1,3,00:00,UTC,,28,,,11,,
2010,1,3,01:00,UTC,,17,,,9,,
2010,1,3,02:00,UTC,,18,,,8,,
2010,1,3,03:00,UTC,,17,,,7,,
2010,1,3,04:00,UTC,,15,,,7,,
2010,1,3,05:00,UTC,,31,,,7,,
2010,1,3,06:00,UTC,,26,,,5,,
2010,1,3,07:00,UTC,,17,,,5,,
2010,1,3,08:00,UTC,,42,,,5,,
2010,1,3,09:00,UTC,,16,,,5,,
2010,1,3,10:00,UTC,,22,,,5,,
2010,1,3,11:00,UTC,,,,,6,,
2010,1,3,12:00,UTC,,,,,6,,
2010,1,3,13:00,UTC,,10,,,6,,
2010,1,3,14:00,UTC,,9,,,6,,
2010,1,3,15:00,UTC,,8,,,5,,
2010,1,3,16:00,UTC,,8,,,5,,
